Name,Developer,Rating,Rating_Number,short_description,key_benefits,Price
Wipeout,StoreBuilder,5,51,Hide Sold-Out products or Publish In-Stock Automatically,"Automatic daily hide/publish 
       Automatically hide sold-out products from your store. 
And automatically publish hidden products when they are in stock. 
    
     
       Smooth Customer Experience 
       Don't let sold-out products clutter your store.
Show your customers only products that are in stock. 
    
     
       Save Time 
       No need to periodically go through your store to remove sold-out products or publish in-stock products one-by-one by hand","Free
       

     
      Free
 

   

     
             FREE manual option if store has less than 3000 products 
             Manually press ""Hide"" or ""Unhide"" buttons whenever needed 
             Exclude 
             Reverse 
 
   
       
        Automatic
       

     
      $9/month
 

   

     
             Automatically hide & unhide once a day. 
             Exclusion List to exclude products you want the app to ignore 
             Reverse within 24 hours"
Neat A/B Testing,NeatShift,4.8,13,Increase your sales with simple A/B testing,"Increase your conversions 
       Neat A/B Testing makes it easy to increase your sales through simple A/B testing. 
    
     
         
           
         
       Learn what works for your shop 
       Gain insight into your customers and actionable information about what triggers your visitors to purchase from you. 
    
     
         
           
         
       No statistics degree necessary 
       Simple interface makes conversion rate optimization easy. Neat A/B Testing analyzes your data and will make recommendations for your tests.","Starter Plan
       

     
      $29/month
 

   

     
             For shops with up to 100 orders per month 
 
   
       
        Growing Plan
       

     
      $49/month
 

   

     
             For shops with 101-500 orders per month 
 
   
       
        Standard Plan
       

     
      $79/month
 

   

     
             For shops with 501-2,500 orders per month 
 
   
       
        Pro Plan
       

     
      $99/month
 

   

     
             For shops with over 2,500 orders per month"
Northland Fulfillment,Northland Laboratories,5,1,Affordable - Reliable - Fast,"Warehousing 
       Warehouse your products in a clean, bright facility 
    
     
       Order Fulfillment 
       We pick, pack and ship your orders for you. 
    
     
       Canadian 
       We are experts in shipping to the Canadian consumer.","Free to install
 

       
        warehousing and shipping fees apply"
Facebook Live Chat,SeedGrow,3,2,Facebook Messenger Live Chat (Real-time),,Free
Calendar Rate,Pix Applications Inc,5,1,Choose your Shipping Rate on a Dynamic Delivery Date Calendar.,"Removing Checkout Steps 
       By bringing Delivery Date  and Shipping Rate Selection into one checkout step, you reduce the time it takes for your customer to checkout. 
    
     
       Easy Integration 
       We pull your preexisting Shipping Rules so you don't have to worry about setting new rules or anything complicated. It's plug in and go. 
    
     
       Next Level UX 
       An efficient and fun user experience is an often overlooked aspect of e-commerce. Calendar Rate was designed to blow your customers' minds.",$9.99/month
Fontify by Nitro App,Nitro App,4.7,17,Easy customize font for Shopify store,"Easy to install Google font 
       You can install your Google font by choose new one from dropdown and assign to the elements you want use this font and boommmmm...all done 
    
     
         
           
         
       Easy to install customize font 
       You can download your font from somewhere, upload and assign to your element and it will show instead default font. Change font never easier 
    
     
         
           
         
       Use any font 
       You can use any font with Fontify...forgot the problem about the font..Fontify will solve all thing","Free to install
 

       
        You have to charge 5$ to use Upload Font Featured. However, Google font is also a Good choice for you"
Globo Store Locator + Pickup,Globo,3.4,5,All in one solution for store locator and store pickup.,"Store locator 
       Show store locations with a nice and neat user interface. Help customers get info & interact with stores easily. Easy add store locator 
    
     
         
           
         
       Store pickup 
       Allows pickup in store as a shipping method. Your customer will love store pickup shipping method because it is free. 
    
     
         
           
         
       Local delivery 
       Powerful local delivery solution available for Shopify","Free forever
       

     
      Free
 

   

     
             Number store: 1 
             Store Locator: YES 
             Store Pickup: YES 
 
   
       
        Basic
       

     
      $4.90/month
 

   

     
             Number store: 10 
             Store Locator: YES 
             Store Pickup: YES 
 
   
       
        Standard
       

     
      $6.90/month
 

   

     
             Number store: 100 
             Store Locator: YES 
             Store Pickup: YES 
 
   
       
        Premium
       

     
      $9.90/month
 

   

     
             Number store: Unlimited 
             Store Locator: YES 
             Store Pickup: YES"
ODFL LTL Freight Quotes,Eniture Technology,0,0,Get accurate LTL freight quotes at checkout,"Offer accurate LTL rates 
       Improve conversions on large items and orders by offering accurate real-time LTL freight quotes based on your actual negotiated rates. 
    
     
         
           
         
       Define drop ship locations 
       Obtain accurate shipping rates when orders are sourced from multiple warehouses or drop shipped from vendors. 
    
     
         
           
         
       Control how quotes display 
       Options for residential delivery, lift gate delivery, in-store pick up and local delivery puts you in control of your LTL freight quotes.","Basic
       

     
      $15/month
 

   

     
             Unlimited LTL freight quotes 
             Multiple stocking locations 
             Residential delivery 
             Lift gate delivery 
             Handling fee 
 
   
       
        Standard
       

     
      $20/month
 

   

     
             Basic plan plus... 
             Auto-detect residential addresses 
             More options for residential delivery and lift gate delivery 
             Hazardous material support 
 
   
       
        Advanced
       

     
      $40/month
 

   

     
             Standard plan plus... 
             Proximity options for in store pick up and local delivery 
             Define proximity by distance or postal codes 
             Local delivery fee"
Bulk Product Prefix & Suffix,Bonken Apps,3.5,2,"Easily Multi Prefix, Suffix & Remove Text From Product Titles",,$5.99/month
EVERY* Loyalty & Insights,EVERY,4.1,24,Increase loyalty with easy to use Rewards & Insights.,"Increase Repeat Purchases 
       Increase repeat purchases by encouraging customers to come back and redeem their points. 
    
     
         
           
         
       Branded Experience 
       Upload your logo, pick your colors, name your points - customize everything to fit your brand image. 
    
     
         
           
         
       Gain Customer Insights 
       Gather powerful customer insights directly from EVERY, and use them to grow your business.","Free
       

     
      Free
 

   

     
             Up to 250 active members 
             Many features available, while some features are slightly limited 
             No custom development 
 
   
       
        Sprout
       

     
      $9/month
 

   

     
             Up to 500 active members 
             All features included 
             API Access 
 
   
       
        Startup
       

     
      $29/month
 

   

     
             Up to 1,000 active members 
             All features included 
             API Access 
 
   
       
        Traction
       

     
      $59/month
 

   

     
             Up to 6,000 active members 
             All features included 
             API Access"
Sherlock,Matt Loszak,5,1,"Find influential customers, view social profiles, and more.",,$5/month
Ultimate Special Offers,Pixel Union,4.7,263,"All your sales, discounts, and promotions in one place.","All-in-one sales app 
       Tired of other developers requiring you to install multiple apps? Ultimate Special Offers lets you manage all your sales in one place. 
    
     
         
           
         
       The most promotion types 
       Create upsells, cross-sells, and special offers based on volume, quantity, “Buy X Get Y”, bundles, store credit, free gift—and more! 
    
     
         
           
         
       Seconds to install 
       Get set up and create your first offer in no time at all. Our amazing customer support team is here if you need help along the way.","Basic
       

     
      $19/month
 

   

     
             For stores on Shopify's ""Basic Shopify"" plan. 
             Comes with unlimited orders and all features. 
 
   
       
        Standard
       

     
      $29/month
 

   

     
             For stores on Shopify's standard ""Shopify"" plan. 
             Comes with unlimited orders and all features. 
 
   
       
        Advanced
       

     
      $49/month
 

   

     
             For stores on Shopify's ""Advanced Shopify"" plan. 
             Comes with unlimited orders and all features. 
 
   
       
        Shopify Plus
       

     
      $99/month
 

   

     
             For stores on Shopify's ""Shopify Plus"" plan. 
             Comes with unlimited orders and all features."
Checkout‑Direct,ThanhBT,0,0,Skip the cart page and take customers straight to checkout.,,$2.95/month
Factory,Small Victories,3.9,7,The easiest way to create Video Ads for your products,"Excite Consumers 
       Dynamic Ads engage viewers showcasing your product in an unbeatable way. 
    
     
         
           
         
       Every Product 
       Your inventory changes on a daily basis and no matter how many products you have, we can create updated content every day with ease. 
    
     
         
           
         
       Instagram and YouTube ready 
       Your product video ads are automatically added to your Facebook Business Manager or Youtube Channel, ready to launch.","Free to install
 

       
        First 2 videos are FREE, then you pay $1 for each new video."
Excelify,Excelify.io,5,119,Bulk Import Export Update Migrate,"Use Excel or CSV files for: 
       Products ★ Collections ★ Customers ★ Discounts ★ Draft Orders ★ Orders ★ Payouts ★ Pages ★ Blogs ★ Redirects ★ Metafields 
    
     
       Migrate data to Shopify 
       This app is all you need to migrate data from your previous e-commerce platform to Shopify. Especially - from Magento. 
    
     
       Bulk update data 
       Bulk update specific fields while keeping existing data intact.
E.g. update Product inventory by the SKU number.","Demo
       

     
      Free
 

   

     
             Per file: 
             10 Products 
             10 Collections 
             10 Customers 
             10 Discounts 
             10 Orders 
             10 Payouts 
             10 Pages 
             10 Blog Posts 
             10 Redirects 
             = 
             No monthly limit 
 
   
       
        Basic
       

     
      $20/month
 

   

     
             Per file: 
             5K Products 
             300 Collections 
             2K Customers 
             300 Discounts 
             1K Orders 
             366 Payouts 
             50 Pages 
             50 Blogs 
             10K Redirects 
             = 
             No monthly limit 
 
   
       
        Big
       

     
      $50/month
 

   

     
             Per file: 
             50K Products 
             3K Collections 
             20K Customers 
             3K Discounts 
             10K Orders 
             3660 Payouts 
             500 Pages 
             500 Blogs 
             100K Redirects 
             = 
             No monthly limit 
             5x speed 
 
   
       
        Enterprise
       

     
      $200/month
 

   

     
             Everything Unlimited 
             10x speed 
             Import images from your computer"
Ordoro,Ordoro,4.8,86,"Shipping, Inventory, and Everything In Between","Shipping Management 
       Collect all of your orders in one place, access discounted shipping rates, and automate your fulfillment workflow. 
    
     
         
           
         
       Inventory Management 
       Automatically track and sync inventory levels, issue POs, bundle products together, and reduce errors via barcode scanning. 
    
     
         
           
         
       Dropshipping 
       Choose whether dropshippable orders should be automatically or manually routed to suppliers, and have hybrid orders split by default.","Ordoro Pro
       

     
      $299/month"
Tabs by Station,Station,5,43,Easily add tabs to products with Shopify's best tabs app,"Make tabs 
       Make tabs automatically by using headings in your product descriptions. No coding required. 
    
     
         
           
         
       Manage tabs 
       Create custom tabs and assign them to products by collections, tags, vendors or types for the ultimate time saver. 
    
     
         
           
         
       Style tabs 
       Use the style designer to  customize the look of your tabs for a perfect match with your shop.",$5/month
eMAG Marketplace Connector,Zitec,0,0,Connect your store with our Marketplace,,Free
YRC LTL Freight Quotes,Eniture Technology,5,2,Get accurate LTL freight quotes at checkout,"Offer accurate LTL rates 
       Improve conversions on large items and orders by offering accurate real-time LTL freight quotes based on your actual negotiated rates. 
    
     
         
           
         
       Define drop ship locations 
       Obtain accurate shipping rates when orders are sourced from multiple warehouses or drop shipped from vendors. 
    
     
         
           
         
       Control how quotes display 
       Options for residential delivery, lift gate delivery, in-store pick up and local delivery puts you in control of your LTL freight quotes.","Basic
       

     
      $15/month
 

   

     
             Unlimited LTL freight quotes 
             Multiple stocking locations 
             Residential delivery 
             Lift gate delivery 
             Handling fee 
 
   
       
        Standard
       

     
      $20/month
 

   

     
             Basic plan plus... 
             Auto-detect residential addresses 
             More options for residential delivery and lift gate delivery 
             Hazardous material support 
 
   
       
        Advanced
       

     
      $40/month
 

   

     
             Standard plan plus... 
             Proximity options for in store pick up and local delivery 
             Define proximity by distance or postal codes 
             Local delivery fee"
Tracktor,ShopPad Inc.,4.8,311,Add real-time order tracking and status lookup to your store,"Real-time Order Lookup 
       Tracktor automatically integrates with hundreds of carriers across the globe, so your shoppers can see exactly where their package is 24x7 
    
     
         
           
         
       Streamline Customer Support 
       The most frequent question shoppers ask is, ""where's my order?"" Now your customers can check their order status directly from your store 
    
     
         
           
         
       Seamless Integration 
       Tracktor blends into your store to match your theme and is 100% responsive for desktop, mobile and tablet devices","Free
       

     
      Free
 

   

     
             Completely free for your first 5 orders each month 
 
   
       
        Starter
       

     
      $14.99/month
 

   

     
             For stores with up to 50 orders per month 
             Unlimited lookups 
 
   
       
        Professional
       

     
      $29.99/month
 

   

     
             For stores with up to 100 orders per month 
             Unlimited lookups 
             Customizable map styles 
             Package status email notifications 
 
   
       
        Business
       

     
      $99.99/month
 

       
        High volume plans available for stores with 1,000+ orders
       
   

     
             For stores with up to 1,000 orders per month 
             Unlimited lookups 
             Customizable map styles 
             Package status email notifications 
             Premium data sources"
SEO Assistant by Buymaxx,Buymaxx,4.7,92,Save time on SEO optimization and improve your site's ranking!,"Boost Traffic 
       You will increase the organic traffic by increasing the ranking in the search results, due to flexible SEO settings for each product. 
    
     
       Bulk Editing of Metafields 
       You will save your time by bulk editing meta tags 
    
     
       Increase site's ranking 
       SEO Assistant will help you improve the indexing of your online store pages in the search engines.",Free
Plixpod,Hoplix - Definitive Platform for Marketers and Creatives,2,2,Print on Demand & Dropshipping over 100 product all over world,"Over 100 products 
       Start Selling Over 100 products with 250 variants with your design. No Setup Fee or monthly charges and no need to stock inventory. 
    
     
         
           
         
       Quickly and automate solution 
       All order are automatically printed and shipped with our Application. 
    
     
         
           
         
       Great fulfilment in Whitelabel 
       Perfect Solutions for Marketers, Designers, Sellers and Business Makers.",Free
Bold Memberships,BOLD,4.4,140,Add a full featured membership program to your store,"Show or hide ""Member"" content 
       Show or hide any piece of content, products, page, prices, add-to-cart buttons, menu items and more! Even swap liquid templates for members. 
    
     
         
           
         
       Sell memberships 
       Built in recurring billing so you can charge for your memberships if you like. 
    
     
         
           
         
       Unlimited Member Tiers 
       Create member tiers and give your BEST customers exclusive access to new products, blogs, and content.",$9.99/month
Boost Sales‑ Upsell Cross‑sell,Beeketing,4.7,539,"Smart, Auto upsell & cross-sell to boost order value & sales","Upselling & Cross-selling 
       Upsell & Cross sell offers encourage customers to add higher-valued items or purchase bundles to increase sales from any customers. 
    
     
         
           
         
       Boost average order value 
       Excite customers with upselling game technique: motivate customers to spend a little more to reach a goal and receive sweet discount offers. 
    
     
         
           
         
       Last-minute upsell 
       Last step upsell offers on cart pages to convert even more sales from paying customers. Upsell more efficiently with big data technology.","$30/month
 

       
        Your pricing may vary depending on your traffic and orders."
MailChimp Advance Segmentation,getAnalyzed.io,0,0,"Analyze, Segment And Retain Customers Using MailChimp","Advanced Segmentation 
       Create Unlimited MailChimp Segments based on locations, Interests, coupon use, Last Order, and many other buying factors. 
    
     
       Retention Automation 
       Identifying customers you most likely to lose, create specialized offers for them and communicate with them all on autopilot. 
    
     
       Analyze Customers 
       Quickly analyze what your customers like to buy, how much they are spending per order, what color or sizes are the most popular.","Startup
       

     
      Free
 

   

     
             Up to 500 All-Time orders 
             Unlimited MailChimp Segments 
             Advance Customer Segments 
             All Revenue And Customer Reporting 
 
   
       
        Professional
       

     
      $29/month
 

   

     
             Up to 5,000 All-Time orders 
             Unlimited MailChimp Segments 
             Customer Retention Automation 
             All Revenue And Customer Reporting 
 
   
       
        Company
       

     
      $99/month
 

   

     
             Up to 50,000 All-Time orders 
             Unlimited MailChimp Segments 
             Customer Retention Automation 
             All-Pro Features 
             Dedicated Email Support 
 
   
       
        Enterprise 
       

     
      $199/month
 

       
        $5 for Additional 2000 Orders
       
   

     
             Up to 100,000 All-Time orders 
             Unlimited MailChimp Segments 
             Customer Retention Automation 
             All-Pro Features 
             Dedicated Email Support"
Product Options + Testimonials,AAAeCommerce Inc,4,4,Additional Options on Products + Testimonial Form + Popup Form,"Product Option Field 
       Create unlimited number of additional Option fields on Product page. Customers can fill in the fields and it will be saved with Order. 
    
     
         
           
         
       Testimonial Form 
       Create Testimonial Slider and grid with a submission form. Manually add testimonials and showcase on store. 
    
     
         
           
         
       Custom Popup Form 
       Easily add a custom pop-up to your website in a few clicks. Save as a customer or Integrate with Mailchimp and Klaviyo.",$4.99/month
Best Custom Product Options,Relentless Apps,4.8,44,"Product options, infinite custom options, & images swatches","Custom Product Options 
       Display product options as buttons, color & image swatches, buttons, input text, file upload, and more. Create unlimited options. 
    
     
         
           
         
       Customizable Style 
       Choose the size of your image & color swatches, border styling for buttons, and out of stock style for your product options. 
    
     
         
           
         
       Display what is in stock 
       We are the only app that visually shows what is in and out of stock in your product options.","Premium Plan
       

     
      $8.99/month
 

   

     
             Buttons 
             Color swatches 
             Image swatches 
             Checkboxes 
             Radio Buttons 
             Text Input 
             File Upload 
             Conditional Logic 
             Infinite Virtual Product Options"
Cool Image Magnifier • Zoom,Code Black Belt,4.9,252,Magnifier-like zoom for your product images. Rated #1 zoom app,"Focus on what's important 
       Showcase your products and highlight features with this powerful product image zoom effect, which looks like a real-life magnifying glass. 
    
     
         
           
         
       Intuitive and easy to use zoom 
       The product image zoom works on desktop, mobile and tablet devices and is as easy to use as moving your cursor or finger over the image. 
    
     
         
           
         
       Cick & go product image zoom 
       Our one-click installation philosophy makes it easier than ever to start increasing your sales. No template or code modification required.",$2.99/month
Rakuten Super Logistics,Rakuten Super Logistics,3.7,6,"Ecommerce Order Fulfillment, Simplified","Increase speed of delivery 
       Multiple fulfillment warehouse locations allow retailers to compete with 2-Day ground shipping to 98% of the US. 
    
     
         
           
         
       Increase sales margins 
       Competitive shipping rates through established carrier relationships, including UPS, FedEx, DHL, USPS. 
    
     
         
           
         
       Increase customer satisfaction 
       Reduce returns and customer support tickets due to misshipments, with our 100% order accuracy guarantee.","Free to install
 

       
        Custom"
Content Glass,Rhizome Networks LTD,3,1,Stratify your web store,,"Free to install
 

       
        $9 for optional Content-Glass add-on apps that can be installed once this app is installed."
Expressfy,importify,4.8,126,Aliexpress Dropshipping,"Unlimited Import Products 
       Fill your Shopify store by importing the best products from AliExpress.com in just a few clicks. 
    
     
         
           
         
       Built-in Editor 
       Simple but effective built-in editor for product descriptions, edit almost any aspect of a given product before importing to your store. 
    
     
         
           
         
       Order fulfilment 
       Fulfil your Aliexpress orders with just a few clicks.","Basic Plan
       

     
      $14.95/month
 

   

     
             Import Unlimited Products from Aliexpress, Full Product Customization, Edit Titles, Descriptions, Weights, Pricing, Tags and More! 
 
   
       
        Premium Plan
       

     
      $24.95/month
 

   

     
             Import Unlimited Products from Aliexpress, Full Product Customization, Semi-Automate Order Fulfillment"
Updater,eShopAdmin Inc.,4.5,16,Update your products faster,"Update Multiple Products 
       With Updater you can update multiple products and variants quickly 
    
     
       Update Variant Attributes 
       You can easily update each and every one of your variant's attributes, in one shot 
    
     
       Save Time 
       Updater provides you with a convenient tool to make changes quickly so that you can get to the more important stuff",$5/month
LeadDyno Affiliate Marketing,LeadDyno,4.6,445,Easy Influencer & Affiliate Marketing (Plus MLM Support!),"Instant Influencer Marketing 
       Launch an affiliate program for your Shopify store in minutes. Just add this app, and we'll help you with the rest of this quick setup. 
    
     
         
           
         
       Easy Affiliate Recruitment 
       We can feature your product and program to our network of affiliates and influencers (and we'll help you recruit your own affiliates too). 
    
     
         
           
         
       Great Customer Support 
       Live chat, phone and email support is available 7 days a week, 365 days a year. We provide affiliate marketing advice and 1:1 phone support.","Starter
       

     
      $29/month
 

   

     
             Up To 1,000 Unique Visitors Per Month 
             Unlimited Affiliates 
             Email and Live Chat Support 
             Affiliate Network 
 
   
       
        Biz Builder
       

     
      $49/month
 

   

     
             Up To 3,000 Unique Visitors Per Month 
             Unlimited Affiliates 
             Email and Live Chat Support 
             Affiliate Network 
 
   
       
        Accelerator
       

     
      $79/month
 

   

     
             Up To 7,500 Unique Visitors Per Month 
             Unlimited Affiliates 
             Email, 1:1 Phone and Live Chat Support 
             Affiliate Network 
 
   
       
        Rainmaker
       

     
      $149/month
 

       
        Additional plans available for higher traffic levels
       
   

     
             Up To 25,000 Unique Visitors Per Month 
             Unlimited Affiliates 
             Email, 1:1 Phone and Live Chat Support 
             Affiliate Network"
Product Videos by Omega,Omega,4.5,2,It's an easy and powerful way to add videos to your store,"Show videos on Product details 
       Embed video from Youtube or Vimeo in few seconds 
    
     
         
           
         
       Support YouTube, Vimeo 
       Support YouTube, Vimeo video in a single or slideshow lightbox overlay. 
    
     
         
           
         
       Multiple Responsive Layouts 
       There are 7 responsive layouts to select. List, Gird, Slider, Featured.",$4.99/month
Daily Sales Analytics,RetailApps.io,3,1,An essential app - daily emails with your crucial analytics,"Crucial analytics via email 
       Sales analytics for the day delivered straight to your inbox 
    
     
       Spot trends 
       See your top products, brands, tags, product types, and customers 
    
     
       Customizable time periods 
       Monthly reports available as well","Daily
       

     
      $2.99/month
 

   

 
   
       
        Daily + Monthly
       

     
      $4.99/month"
Store Cam,Shopify,5,1,Store Cam gives retail merchants a shortcut to security.,"Enhance security 
       Shopify’s Nest camera integration will sync purchases made in-store with photos of the purchase. 
    
     
         
           
         
       Prevent theft 
       Get snapshots of your buyers making purchases to use against chargebacks and fraud. 
    
     
         
           
         
       Monitor your store 
       Gain insights on purchase patterns, monitor foot traffic, and determine product and display popularity.","Free to install
 

       
        Nest Aware Subscription and Nest Cam Required"
PredictAlly,VectorScient,0,0,"Run AI-powered, data-driven email campaigns to boost sales.","Increase Sales 
       We predict who is most likely to buy & their characteristics. Use this detail to craft marketing messaging for increased conversions & sales 
    
     
         
           
         
       Save Money 
       Email marketing not only costs money but it also upsets customer if you send many irrelevant ones. We tell who to market & you save money. 
    
     
         
           
         
       Save Time 
       Save time with our automated data analysis & customer segments. We create highly targeted, most likely to purchase email lists for you.","Free to install
 

       
        $10 for 1000 customers; FREE forever for stores with up to 500 customers."
Membership ‑ By AAAecommerce,AAAeCommerce Inc,3,6,Unlimited Recurring Membership Levels and Restricted Access,"UNLIMITED MEMBERSHIP LEVEL 
       Charge recurring billing to your customers. You can create as many membership recurring levels as you need in the app. 
    
     
         
           
         
       SHOW HIDE MEMBER CONTENT 
       Hide/Show pages, collection, add to cart button & Price based on the membership level. 
    
     
         
           
         
       AUTO TAGGING OF MEMBERS 
       Members will be auto tagged based on the membership plan they select. They are assigned as members accordingly.","Starter Plan
       

     
      $9.99/month
 

   

     
             Upto 100 Members 
 
   
       
        Advance
       

     
      $19.99/month
 

   

     
             Upto 500 Members 
 
   
       
        Premium
       

     
      $39.99/month
 

   

     
             Upto 1000 Members 
 
   
       
        Gold
       

     
      $149.99/month
 

   

     
             Upto 5000 Members"
Instagram Reviews and UGC,Crush Convert,0,0,Tag Instagram posts to products and watch conversions climb,"Add Instagram to your Store 
       Get beautiful Instagram galleries on the Products, Collections and Home Page of your store. 
    
     
         
           
         
       Boost your Conversion Rates 
       Tag products to your Instagram posts and watch the conversion rates climb! 
    
     
         
           
         
       Easy to Set Up 
       No coding required. Crush Convert sets up in under 5 minutes.","Pro Package
       

     
      $29/month
 

   

     
             Unlimited posts tagging, galleries enabled on all the pages"
Inventory Planner,Inventory Planner,4.9,49,"Inventory forecasting, purchase orders, merchandising and more","Sales Forecasting 
       Make more informed, data-driven decisions on which inventory to purchase and save time on creating purchase orders. 
    
     
       Overstock Management 
       Identify stock that is not moving and improve your cash flow by promoting these products. 
    
     
       Open-to-Buy Planning 
       Create high level financial plan for your business with Open-to-Buy.","$99/month
 

       
        +$10/mo each extra 1000 SKUs, +$50/mo each extra channel"
SimplyTick,Lantan Software,4.3,42,Reporting app that helps you manage your store,"Understand your customers 
       Easy-to-use dashboards provide great insights to help you understand your customers. 
    
     
         
           
         
       Focus on what's selling 
       Products popularity analysis will help you focus on the most promising products. 
    
     
         
           
         
       Keep track of your store 
       SimplyTick will automatically send you daily and weekly email reports with a summary of your store's performance.","Free
       

     
      Free
 

   

     
             Sales analysis 
             Traffic analysis 
             Customer loyalty segmentation 
             Product analysis 
             Email reports 
 
   
       
        Premium
       

     
      $9.50/month
 
       
        or $7.92/month billed at $95 once per year
       

   

     
             Sales analysis 
             Traffic analysis 
             Customer loyalty segmentation 
             Product analysis 
             Email reports 
             Detailed reports 
             Choosing a fiscal year"
Round Up for Charity,RoundUp for Charity,4.7,12,Donate to local non-profits,"Improved Sales 
       Increase cart conversion rates - customers love being able to donate to your cause. 
    
     
         
           
         
       Completely Automated 
       Install in less than 5 minutes - all donations, collections, and distributions are automatic. 
    
     
         
           
         
       Premium Support 
       Free support for all users - includes white glove setup and answers within 3 hours.",Free
Facebook Save Button,Omega,0,0,Save button helps customer save product or page's link.,"Facebook save button 
       Display Facebook save button on product page with many position options. 
    
     
       Phone button 
       Phone button with your contact's information. 
    
     
       Customize easily 
       Easily to customize layout's setting.",$3.99/month
Bring Shipping,Media Skjolberg,5,8,"Integration for Bring in Norway, Denmark, Sweden and Finland.","Live shipping-cost calculator 
       Calculate accurate shipping price per order. 

Adjust weight and/or price to account for shipping materials.

And more! 
    
     
       Time-saving label-service 
       No more copy & paste. 
    
     
       One-click workflow 
       Embedded app with single and bulk order actions.","Basic
       

     
      $10/month
 
       
        or $8.33/month billed at $100 once per year
       

   

     
             Labels 
             Calculator"
Store Locator ‑ W3,W3trends Inc.,4.5,59,Easily add locations to a map for your customers to find you!,"Unlimited! 
       Unlimited stores, locations, offices, or places of interest! 
    
     
         
           
         
       Easy To Use! 
       Easily searchable map for customers 
    
     
         
           
         
       Different Plans 
       Different plans to meet your needs!","FREE
       

     
      Free
 

   

     
             1 location 
 
   
       
        Small
       

     
      $4.99/month
 

   

     
             20 locations 
 
   
       
        Startup
       

     
      $9.99/month
 

   

     
             100 locations 
 
   
       
        Standard And Up
       

     
      $16.99/month
 

   

     
             Standard: 500 locations $16.99/mo 
             Professional: 1000 locations $21.99/mo 
             Enterprise: Unlimited $32.99/mo"
Notification & Bubble Cart,Identix Web,5,2,Cart Update Notifies By Favicon Change Notification,"Bring customers back to cart 
       Bring customers back, who move off the cart tab with a blinking favicon. 
    
     
         
           
         
       Customize favicon notification 
       Customize the badge for the favicon notification. Set up it up to match the site design. 
    
     
         
           
         
       1-click install and setup 
       1-click install and configuration! Just add this app, here you starts, you can update it's design options.",$0.99/month
Google Ads Dynamic Remarketing,"AdNabu, Inc",5,2,Automatically Implement Google AdWords Dynamic Remarketing tag,"Implement Code Across Website 
       Automatically implement Google AdWords dynamic remarketing code across your website with special tags for add to cart, checkout etc. 
    
     
       Create Remarketing Audiences 
       Automatically create audiences like cart abandoners, product viewers of a specific product type or collection, home page visitors etc. 
    
     
       No Manual Coding Required 
       Implementing this code manually would be extremely hard and can result in errors. AdNabu avoids this and installs without any manual effort.",$9.99/month
KITE,Kite Tech Ltd,3.6,97,Print on Demand Custom Merchandise,"Sell your designs on demand 
       No minimum order or inventory costs. Only pay for the manufacturing & shipping costs of completed purchases. 
    
     
         
           
         
       Hassle-free global delivery 
       Automatic fulfilment of orders with drop-shipping to customers worldwide. 
    
     
         
           
         
       Quick and easy to set up 
       Push products straight from the app to your store. No additional configuration required.","Free to install
 

       
        Dropshipping services available: pay per item sold."
Sales Countdown Timer Bar,SpurIT,4.8,522,Countdown Timer That Makes Your Sales Effective!,"Powerful countdown timer 
       3 Positions to show, scheduled and fixed-length timers, fully customizable design. 
    
     
       Wide range of settings 
       Create timers for collections, specific products or set it up on the homepage. Set up auto restarts and individual timers. 
    
     
       Fully customizable app 
       With an easy-to-use (no coding required) insightful editor you can change size/color/etc. for the font/background/buttons.","$8.95/month
 

   

     
             3 positions to show 
             Scheduled and fixed-length timers 
             Customizable design 
             Auto restarts and individual timers 
             24/7 fast live chat support"
Gleam Competitions,Gleam,4.7,55,Engage your customers and grow sales with beautiful contests,"Trusted by 1M+ Businesses 
       Gleam is the industry standard platform for running engaging contests for your business.

Join 1M+ businesses, you're in good company. 
    
     
         
           
         
       Collect Media From Entrants 
       Go beyond traditional campaigns and collect media from your entrants.

User collected content helps drive sales 
    
     
         
           
         
       Designed For Shopify 
       Use hundreds of different Actions to help you grow your business and keep your customers engaged with your brand","Free Plan
       

     
      Free
 

   

     
             Use Gleam for Free on your Shopify store, data access is restricted to Winners only on this plan. 
 
   
       
        Pro Plan
       

     
      $49/month
 

   

     
             Unlock access to contestant data, integrations with Pro email providers and more Pro features (including Actions and customisation). 
 
   
       
        Business Plan
       

     
      $149/month
 

   

     
             Remove Gleam branding from widget, landing page and email plus more Business feature including email providers and Actions. 
 
   
       
        Premium Plan
       

     
      $399/month
 

   

     
             Pick up to 500 Winners, add up to 5 additional team members, access our Webhooks and API and also use embeddable leaderboards."
